Number,Tournament,Season,Playoff round,Team 1,Team 2,Home odds game 1,Draw odds game 1,Away odds game 1,ELO Rating ,Home Goals game 1,Away goals game 1,Result,Goal difference,Team 2,Team 1,Home odds game 2,Draw odds game 2,Away odds game 2,ELO Rating ,Home Goals game 2,Away goals game 2,Result,Goal difference
32,Champions League,1415,Quarterfinal,FC Porto,Bayern Munich,4.12,3.27,2.12,115.424542,3,1,1,2,Bayern Munich,FC Porto,1.35,5.42,10.53,-356.8378411,6,1,1,5
33,Champions League,1415,1/8-final,Shakhtar Donetsk,Bayern Munich,9.47,5.2,1.37,335.8517647,0,0,X,0,Bayern Munich,Shakhtar Donetsk,1.17,8.75,21,-501.6133732,7,0,1,7
34,Champions League,1415,1/8-final,Paris SG,Chelsea,2.6,3.06,3.23,-37.69166974,1,1,X,0,Chelsea,Paris SG,2.29,3.24,3.61,-79.06868783,1,1,X,0
35,Champions League,1415,1/8-final,Schalke,Real Madrid,7.45,4.44,1.51,277.2717302,0,2,2,-2,Real Madrid,Schalke,1.21,7.65,15.56,-443.6896889,3,4,2,-1
36,Champions League,1415,1/8-final,Basel,FC Porto,3.82,3.24,2.22,94.28415538,1,1,X,0,FC Porto,Basel,1.45,4.72,8.45,-306.1954827,4,0,1,4
37,Champions League,1415,1/8-final,Manchester City ,Barcelona,3.96,3.71,2.01,117.7996514,1,2,2,-1,Barcelona,Manchester City ,1.37,5.8,8.4,-315.0234876,1,0,1,1
38,Champions League,1415,1/8-final,Juventus ,Dortmund,1.96,3.38,4.68,-151.1959127,2,1,1,1,Dortmund,Juventus ,2.3,3.42,3.41,-68.41061719,0,3,2,-3
39,Champions League,1415,1/8-final,Bayer Leverkusen,Atl. Madrid,3.06,3.05,2.72,20.46100898,1,0,1,1,Atl. Madrid,Bayer Leverkusen,1.76,3.6,5.7,-204.1448751,1,0,1,1
40,Champions League,1415,1/8-final,Arsenal,Monaco,1.63,3.79,7.25,-259.2601609,1,3,2,-2,Monaco,Arsenal,3.52,3.71,2.15,85.64168143,0,2,2,-2
41,Champions League,1314,Semifinal,Atl. Madrid,Chelsea,1.77,3.6,5.65,-201.6300726,0,0,X,0,Chelsea,Atl. Madrid,2.51,3.27,3.16,-40.00534445,1,3,2,-2
42,Champions League,1314,Semifinal,Real Madrid,Bayern Munich,2.28,3.68,3.24,-61.04406528,1,0,1,1,Bayern Munich,Real Madrid,1.75,4.62,4.33,-157.3799391,0,4,2,-4
43,Champions League,1314,Quarterfinal,Manchester United,Bayern Munich,6.87,4.92,1.49,265.5081875,1,1,X,0,Bayern Munich,Manchester United,1.31,6.29,9.98,-352.7436983,3,1,1,2
44,Champions League,1314,Quarterfinal,Barcelona,Atl. Madrid,1.57,4.32,6.52,-247.3391773,1,1,X,0,Atl. Madrid,Barcelona,3.72,3.7,2.07,101.8290378,1,0,1,1
45,Champions League,1314,Quarterfinal,Real Madrid,Dortmund,1.39,5.47,8.4,-312.5057943,3,0,1,3,Dortmund,Real Madrid,3.06,3.98,2.26,52.64519493,2,0,1,2
46,Champions League,1314,Quarterfinal,Paris SG,Chelsea,2.1,3.4,3.98,-111.0655109,3,1,1,2,Chelsea,Paris SG,1.88,3.89,4.3,-143.7242425,2,0,1,2
47,Champions League,1314,1/8-final,Manchester City ,Barcelona,2.97,3.68,2.42,35.57643333,0,2,2,-2,Barcelona,Manchester City ,1.67,4.7,4.81,-183.7714421,2,1,1,1
48,Champions League,1314,1/8-final,Arsenal,Bayern Munich,5.31,4.38,1.66,201.9945732,0,2,2,-2,Bayern Munich,Arsenal,1.33,6.46,8.61,-324.4606042,1,1,X,0
49,Champions League,1314,1/8-final,AC Milan,Atl. Madrid,4.12,3.37,2.08,118.7335524,0,1,2,-1,Atl. Madrid,AC Milan,1.48,4.75,7.55,-283.0740945,4,1,1,3
50,Champions League,1314,1/8-final,Zenit Petersburg,Dortmund,4.88,4.09,1.75,178.1527093,2,4,2,-2,Dortmund,Zenit Petersburg,1.33,6.25,9.08,-333.693683,1,2,2,-1
51,Champions League,1314,1/8-final,Olympiakos Piraeus,Manchester United,3.19,3.29,2.48,43.73560089,2,0,1,2,Manchester United,Olympiakos Piraeus,1.45,4.9,7.75,-291.1734801,3,0,1,3
52,Champions League,1314,1/8-final,Galatasaray,Chelsea,3.54,3.3,2.29,75.66711187,1,1,X,0,Chelsea,Galatasaray,1.47,4.65,8.12,-296.8954778,2,0,1,2
53,Champions League,1213,Semifinal,Dortmund,Real Madrid,2.54,3.5,2.84,-19.39384937,4,1,1,3,Real Madrid,Dortmund,1.53,5.27,5.7,-228.4733699,2,0,1,2
54,Champions League,1213,Quarterfinal,Paris SG,Barcelona,4.46,3.74,1.89,149.1492218,2,2,X,0,Barcelona,Paris SG,1.42,5.2,8.19,-304.398223,1,1,X,0
55,Champions League,1213,Quarterfinal,Bayern Munich,Juventus,1.57,4.13,7.12,-262.6321365,2,0,1,2,Juventus,Bayern Munich,3.19,3.38,2.43,47.27376378,0,2,2,-2
56,Champions League,1213,Quarterfinal,Real Madrid,Galatasaray,1.19,8.27,16.71,-458.9717954,3,0,1,3,Galatasaray,Real Madrid,4.95,4.01,1.76,179.6370124,3,2,1,1
57,Champions League,1213,Quarterfinal,Malaga,Dortmund,3.38,3.6,2.24,71.46747278,0,0,X,0,Dortmund,Malaga,1.33,5.6,10.85,-364.6312389,3,2,1,1
