Number,Home Goals game 1,Away goals game 1,Total goals 1,Home Goals game 2,Away goals game 2,Total goals 2
225,1,1,2,1,2,3
226,1,1,2,2,1,3
227,0,1,1,2,3,5
228,2,0,2,1,2,3
229,3,1,4,3,3,6
230,0,0,0,3,0,3
231,3,1,4,2,1,3
232,1,1,2,2,3,5
233,1,0,1,3,2,5
234,1,0,1,2,0,2
235,0,0,0,0,1,1
236,1,0,1,2,2,4
237,2,0,2,1,0,1
238,2,1,3,2,1,3
239,2,0,2,2,0,2
